#NSGA2
popsize 100
maxGen 100
numVar 10
numObj 2
numCons 10
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 100
currentGen	1
evaluateCount	100
totalTime	0.38938
firstFrontCount	11
frontCount	14
avgEvalTime	0.00270498
#end
Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Var9	Var10	Obj1	Obj2	Cons1	Cons2	Cons3	Cons4	Cons5	Cons6	Cons7	Cons8	Cons9	Cons10	
0.482256	0.421027	-0.0272832	0.808858	0.381095	0.686504	-0.0219994	0.632632	0.63298	0.308581	12.1899	1.28897	0	0	0	0	0	0	0	0	0	0	
0.714903	0.665839	0.772408	0.316742	0.678079	-0.0364013	0.30003	0.341934	0.472181	0.350016	6.03938	1.33244	0	0	0	0	0	0	0	0	0	0	
0.149198	0.840004	0.668502	0.28748	0.760397	0.0543985	-0.088051	0.628355	0.940365	-0.0842124	7.42857	1.56627	0	0	0	0	0	0	0	0	0	0	
-0.285863	0.68634	0.4845	0.913144	-0.252753	0.833075	0.333914	0.805911	0.769816	0.581701	14.354	2.03562	0	0	0	0	0	0	0	0	0	0	
0.338355	0.455977	0.700974	0.69061	0.344109	0.734283	0.308312	0.214243	0.502569	0.858032	7.5971	1.53902	0	0	0	0	0	0	0	0	0	0	
0.236141	0.851987	-0.213542	0.247677	-0.00565032	0.719789	-0.156989	0.930178	0.294101	0.55461	14.1814	1.34534	0	0	0	0	0	0	0	0	0	0	
-0.168212	0.476382	0.642015	0.934601	0.337267	0.905829	0.744583	-0.0881943	0.873078	-0.0808192	12.3335	1.90308	0	0	0	0	0	0	0	0	0	0	
0.431709	0.0711926	-0.0475633	0.992555	0.168349	0.929999	0.869473	0.0253911	0.387881	0.0219653	14.7074	1.48984	0	0	0	0	0	0	0	0	0	0	
-0.0200954	0.419614	-0.154057	-0.0514216	-0.12214	-0.0574412	0.759652	0.935766	0.442711	0.644711	19.3323	1.14272	0	0	0	0	0	0	0	0	0	0	
0.399545	0.493341	0.346078	0.107651	0.733272	0.660518	-0.148787	0.0326343	0.230911	0.935482	9.80791	1.23	0	0	0	0	0	0	0	0	0	0	
