#NSGA2
popsize 100
maxGen 100
numVar 10
numObj 2
numCons 10
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 100
currentGen	1
evaluateCount	100
totalTime	0.381491
firstFrontCount	10
frontCount	14
avgEvalTime	0.00272877
#end
Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Var9	Var10	Obj1	Obj2	Cons1	Cons2	Cons3	Cons4	Cons5	Cons6	Cons7	Cons8	Cons9	Cons10	
0.386833	0.381882	0.333768	-0.064008	0.0657178	0.353079	0.385753	0.38626	-0.174365	0.25642	12.4211	0.467056	0	0	0	0	0	0	0	0	0	0	
0.153496	0.60366	0.193817	-0.158654	0.546557	0.593531	-0.120106	0.250231	0.101805	0.292147	12.4118	0.637231	0	0	0	0	0	0	0	0	0	0	
0.0654193	-0.158139	0.277184	-0.0298939	0.262337	-0.198826	-0.122178	-0.229156	0.134703	0.489361	14.1228	0.270212	0	0	0	0	0	0	0	0	0	0	
-0.137824	-0.283457	0.341712	-0.090958	0.349977	-0.181913	-0.228452	0.805961	0.779491	0.992448	19.4029	1.33714	0	0	0	0	0	0	0	0	0	0	
0.072471	0.081189	0.25622	0.587306	-0.25859	0.624013	-0.221929	0.99175	0.562161	-0.0371882	16.586	1.11445	0	0	0	0	0	0	0	0	0	0	
0.679618	0.206167	-0.0640006	-0.166284	0.124683	0.26315	-0.21878	0.957797	-0.274216	0.523796	14.1166	0.967861	0	0	0	0	0	0	0	0	0	0	
0.455483	0.7634	0.825523	-0.121502	0.715304	0.316016	0.755054	-0.162026	0.928846	0.181358	6.71992	1.79501	0	0	0	0	0	0	0	0	0	0	
-0.0924773	0.272699	0.709297	0.56094	0.783018	-0.00669597	0.301058	0.672542	0.129735	0.625068	12.9438	1.23216	0	0	0	0	0	0	0	0	0	0	
0.678605	-0.247354	0.595726	0.314192	0.470544	0.85278	0.0248356	0.0732522	0.867645	0.22815	12.9753	1.36739	0	0	0	0	0	0	0	0	0	0	
-0.0212709	0.294029	0.297684	0.247068	0.380847	0.898101	0.905189	0.918	0.653544	0.762522	18.5472	1.92942	0	0	0	0	0	0	0	0	0	0	
0.931806	0.489974	0.883725	0.919316	0.27846	-0.151711	0.642375	-0.141834	0.614313	0.591676	5.99853	1.99761	0	0	0	0	0	0	0	0	0	0	
0.192033	0.440966	-0.142676	0.164679	0.313143	0.158587	-0.0404445	0.585078	0.920374	0.594001	16.5613	0.972945	0	0	0	0	0	0	0	0	0	0	
-0.167662	-0.2898	0.597234	-0.0889675	0.882867	0.569771	0.385373	0.645078	0.699944	-0.271007	19.3225	1.3544	0	0	0	0	0	0	0	0	0	0	
0.602957	0.170617	-0.280357	0.00967927	0.420078	0.644527	0.465996	0.112043	-0.278204	0.611529	14.7528	0.872156	0	0	0	0	0	0	0	0	0	0	
0.0996994	0.487421	-0.193888	-0.193426	-0.161511	0.653822	0.441882	0.462154	0.913851	0.534008	18.7885	1.15261	0	0	0	0	0	0	0	0	0	0	
0.673529	0.858701	0.968639	0.756651	0.230047	0.283247	-0.241132	-0.0445257	0.213041	0.686698	6.87153	1.706	0	0	0	0	0	0	0	0	0	0	
